authors,title,journal,volume,page,year,publication_type,issn,doi,handle,arxiv,biorxiv,tags
"Bonomi M., Bussi G., Camilloni C., Tribello G. A., Banas P., Barducci A., Bernetti, Bolhuis P. G., Bottaro S., Branduardi D., Capelli R., Carloni P., Ceriotti M., Cesari A., Chen H., Chen W., Colizzi F., De S., De La Pierre M., Donadio D., Drobot V., Ensing B., Ferguson A. L., Filizola M., Fraser J. S., Fu H., Gasparotto P., Gervasio F. L., Giberti F., Gil-Ley A., Giorgino T., Heller G. T., Hocky G. M., Iannuzzi M., Invernizzi M., Jelfs K. E., Jussupow A., Kirilin E., Laio A., Limongelli V., Lindorff-Larsen K., Lohr T., Marinelli F., Martin-Samos L., Masetti M., Meyer R., Michaelides A., Molteni C., Morishita T., Nava M., Paissoni C., Papaleo E., Parrinello M., Pfaendtner J., Piaggi P., Piccini G. M., Pietropaolo A., Pietrucci F., Pipolo S., Provasi D., Quigley D., Raiteri P., Raniolo S., Rydzewski J., Salvalaglio M., Sosso G. C., Spiwok V., Sponer J., Swenson D. W. H., Tiwary P., Valsson O., Vendruscolo M., Voth G. A., White A.",Promoting transparency and reproducibility in enhanced molecular simulations,NATURE METHODS,16,670,2019,journal article,1548-7091,10.1038/s41592-019-0506-8,20.500.11767/100676,,,
"Franco, Cagiada, Bussi, Tiana",Statistical mechanical properties of sequence space determine the efficiency of the various algorithms to predict interaction energies and native contacts from protein coevolution,PHYSICAL BIOLOGY,16,046007,2019,journal article,1478-3967,10.1088/1478-3975/ab1c15,20.500.11767/95976,1902.01155,,
"Cesari, Bottaro, Lindorff-Larsen, Banáš, Šponer, Bussi",Fitting Corrections to an RNA Force Field Using Experimental Data,JOURNAL OF CHEMICAL THEORY AND COMPUTATION,15,3425,2019,journal article,1549-9618,10.1021/acs.jctc.9b00206,20.500.11767/95974,,,
"Kührová, Mlýnský, Zgarbová, Krepl, Bussi, Best, Otyepka, Šponer, Banáš",Improving the Performance of the Amber RNA Force Field by Tuning the Hydrogen-Bonding Interactions,JOURNAL OF CHEMICAL THEORY AND COMPUTATION,15,3288,2019,journal article,1549-9618,10.1021/acs.jctc.8b00955,20.500.11767/92640,,10.1101/410993,
"Pinamonti, Paul, Noe, Rodriguez, Bussi",The mechanism of RNA base fraying: Molecular dynamics simulations analyzed with core-set Markov state models,JOURNAL OF CHEMICAL PHYSICS,150,154123,2019,journal article,0021-9606,10.1063/1.5083227,20.500.11767/89934,1811.12144,,#erc2012
"Bottaro, Bussi, Pinamonti, Reiber, Boomsma, Lindorff-Larsen",Barnaba: software for analysis of nucleic acid structures and trajectories,RNA,25,219,2019,journal article,1355-8382,10.1261/rna.067678.118,20.500.11767/86543,,10.1101/345678,#erc2012
Cuturello,Covariance models for RNA structure prediction,PHD THESIS,,,2019,PhD thesis,,,20.500.11767/103809,,,
"Rangan, Bonomi, Heller, Cesari, Bussi, Vendruscolo",Determination of Structural Ensembles of Proteins: Restraining vs Reweighting,JOURNAL OF CHEMICAL THEORY AND COMPUTATION,14,6632,2018,journal article,1549-9618,10.1021/acs.jctc.8b00738,20.500.11767/86016,,,
"Hildebrand, Michaelis, Wurzler, Li, Hirst, Micsonai, Kardos, Gil-Ley, Bussi, Köppen, Piane, Ciacchi",Atomistic Details of Chymotrypsin Conformational Changes upon Adsorption on Silica,ACS BIOMATERIALS SCIENCE & ENGINEERING,4,4036,2018,journal article,2373-9878,10.1021/acsbiomaterials.8b00819,20.500.11767/86014,,,
"Bottaro, Bussi, Kennedy, Turner, Lindorff-Larsen",Conformational ensembles of RNA oligonucleotides from integrating NMR and molecular simulations,SCIENCE ADVANCES,4,eaar8521,2018,journal article,2375-2548,10.1126/sciadv.aar8521,20.500.11767/84994,,10.1101/230268,#erc2012
"Poblete, Bottaro, Bussi",Effects and limitations of a nucleobase-driven backmapping procedure for nucleic acids using steered molecular dynamics,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,498,352,2018,journal article,0006-291X,10.1016/j.bbrc.2017.12.057,20.500.11767/68116,1709.08691,,#erc2012
"Poblete, Bottaro, Bussi",A nucleobase-centered coarse-grained representation for structure prediction of RNA motifs,NUCLEIC ACIDS RESEARCH,46,1674,2018,journal article,0305-1048,10.1093/nar/gkx1269,20.500.11767/68111,1711.00741,,#erc2012
"Sponer, Bussi, Krepl, Banas, Bottaro, Cunha, Gil-Ley, Pinamonti, Poblete, Jurečka, Walter, Otyepka",RNA structural dynamics as captured by molecular simulations: A comprehensive overview,CHEMICAL REVIEWS,118,4177,2018,review,0009-2665,10.1021/acs.chemrev.7b00427,20.500.11767/67900,,,#review #erc2012
"Podbevšek, Fasolo, Bon, Cimatti, Reißer, Carninci, Bussi, Zucchelli, Plavec, Gustincich",Structural determinants of the SINE B2 element embedded in the long non-coding RNA activator of translation AS Uchl1,SCIENTIFIC REPORTS,8,3189,2018,journal article,2045-2322,10.1038/s41598-017-14908-6,20.500.11767/67664,,,#erc2012
"Cesari, Reißer, Bussi",Using the maximum entropy principle to combine simulations and solution experiments,COMPUTATION,6,15,2018,review,2079-3197,10.3390/computation6010015,20.500.11767/65948,1801.05247,,#review
"Mlýnský, Bussi",Exploring RNA structure and dynamics through enhanced sampling simulations,CURRENT OPINION IN STRUCTURAL BIOLOGY,49,63,2018,review,0959-440X,10.1016/j.sbi.2018.01.004,20.500.11767/65204,1709.02342,,#review #erc2012
"Mlýnský, Bussi",Molecular Dynamics Simulations Reveal an Interplay between SHAPE Reagent Binding and RNA Flexibility,JOURNAL OF PHYSICAL CHEMISTRY LETTERS,9,313,2018,journal article,1948-7185,10.1021/acs.jpclett.7b02921,20.500.11767/63625,,,#erc2012
Cesari,Enforcing ensemble averages in molecular dynamics simulations using the Maximum Entropy principle,PHD THESIS,,,2018,PhD thesis,,,20.500.11767/84104,,,
"Islam, Stadlbauer, Gil-Ley, Pérez-Hernández, Haider, Neidle, Bussi, Banas, Otyepka, Sponer",Exploring the Dynamics of Propeller Loops in Human Telomeric DNA Quadruplexes Using Atomistic Simulations,JOURNAL OF CHEMICAL THEORY AND COMPUTATION,13,2458,2017,journal article,1549-9618,10.1021/acs.jctc.7b00226,20.500.11767/53697,,,#erc2012
"Mlýnský, Bussi",Understanding in-line probing experiments by modeling cleavage of nonreactive RNA nucleotides,RNA,23,712,2017,journal article,1355-8382,10.1261/rna.060442.116,20.500.11767/43707,1702.01072,,#erc2012
Andre Cunha,Dissecting Mg2+-RNA interactions using atomistic molecular dynamics,PHD THESIS,,,2017,PhD thesis,,,20.500.11767/59219,,,
"Bellucci, Bussi, Di Felice, Corni",Fibrillation-prone conformations of the amyloid-β-42 peptide at the gold/water interface,NANOSCALE,9,2279,2017,journal article,2040-3364,10.1039/C6NR06010B,20.500.11767/11943,,,
"Šponer, Bussi, Stadlbauer, Kührová, Banáš, Islam, Haider, Neidle, Otyepka",Folding of guanine quadruplex molecules–funnel-like mechanism or kinetic partitioning? An overview from MD simulation studies,BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS,1861,1246,2017,journal article,0304-4165,10.1016/j.bbagen.2016.12.008,20.500.11767/14883,1612.05882,,#erc2012
"Pinamonti, Zhao, Condon, Paul, Noè, Turner, Bussi",Predicting the Kinetics of RNA Oligonucleotides Using Markov State Models,JOURNAL OF CHEMICAL THEORY AND COMPUTATION,13,926,2017,journal article,1549-9618,10.1021/acs.jctc.6b00982,20.500.11767/17423,1612.07470,,#erc2012
"Cunha, Bussi",Unraveling Mg2+-RNA binding with atomistic molecular dynamics,RNA,23,628,2017,journal article,1355-8382,10.1261/rna.060079.116,20.500.11767/11944,1612.08550,,#erc2012
"Cesari, Gil-Ley, Bussi",Combining Simulations and Solution Experiments as a Paradigm for RNA Force Field Refinement,JOURNAL OF CHEMICAL THEORY AND COMPUTATION,12,6192,2016,journal article,1549-9618,10.1021/acs.jctc.6b00944,20.500.11767/17367,1611.06156,,#erc2012
"Kührová, Best, Bottaro, Bussi, Šponer, Otyepka, Banáš",Computer Folding of RNA Tetraloops: Identification of Key Force Field Deficiencies,JOURNAL OF CHEMICAL THEORY AND COMPUTATION,12,4534,2016,journal article,1549-9618,10.1021/acs.jctc.6b00300,20.500.11767/15904,1609.08276,,#erc2012
